qtype,Question,Answer
information,What is (are) Periventricular Leukomalacia ?,"Periventricular leukomalacia (PVL) is characterized by the death of the white matter of the brain due to softening of the brain tissue. It can affect fetuses or newborns; premature babies are at the greatest risk of the disorder. PVL is caused by a lack of oxygen or blood flow to the periventricular area of the brain, which results in the death or loss of brain tissue. The periventricular area-the area around the spaces in the brain called ventricles-contains nerve fibers that carry messages from the brain to the body's muscles. Although babies with PVL generally have no outward signs or symptoms of the disorder, they are at risk for motor disorders, delayed mental development, coordination problems, and vision and hearing impairments. PVL may be accompanied by a hemorrhage or bleeding in the periventricular-intraventricular area (the area around and inside the ventricles), and can lead to cerebral palsy. The disorder is diagnosed by ultrasound of the head."
treatment,What are the treatments for Periventricular Leukomalacia ?,There is no specific treatment for PVL. Treatment is symptomatic and supportive. Children with PVL should receive regular medical screenings to determine appropriate interventions.
outlook,What is the outlook for Periventricular Leukomalacia ?,"The prognosis for individuals with PVL depends upon the severity of the brain damage. Some children exhibit fairly mild symptoms, while others have significant deficits and disabilities."
information,What is (are) Stroke ?,"A stroke occurs when the blood supply to part of the brain is suddenly interrupted or when a blood vessel in the brain bursts, spilling blood into the spaces surrounding brain cells. Brain cells die when they no longer receive oxygen and nutrients from the blood or there is sudden bleeding into or around the brain. The symptoms of a stroke include sudden numbness or weakness, especially on one side of the body; sudden confusion or trouble speaking or understanding speech; sudden trouble seeing in one or both eyes; sudden trouble with walking, dizziness, or loss of balance or coordination; or sudden severe headache with no known cause. There are two forms of stroke: ischemic - blockage of a blood vessel supplying the brain, and hemorrhagic - bleeding into or around the brain."
treatment,What are the treatments for Stroke ?,"Generally there are three treatment stages for stroke: prevention, therapy immediately after the stroke, and post-stroke rehabilitation. Therapies to prevent a first or recurrent stroke are based on treating an individual's underlying risk factors for stroke, such as hypertension, atrial fibrillation, and diabetes. Acute stroke therapies try to stop a stroke while it is happening by quickly dissolving the blood clot causing an ischemic stroke or by stopping the bleeding of a hemorrhagic stroke. Post-stroke rehabilitation helps individuals overcome disabilities that result from stroke damage. Medication or drug therapy is the most common treatment for stroke. The most popular classes of drugs used to prevent or treat stroke are antithrombotics (antiplatelet agents and anticoagulants) and thrombolytics."
outlook,What is the outlook for Stroke ?,"Although stroke is a disease of the brain, it can affect the entire body. A common disability that results from stroke is complete paralysis on one side of the body, called hemiplegia. A related disability that is not as debilitating as paralysis is one-sided weakness or hemiparesis. Stroke may cause problems with thinking, awareness, attention, learning, judgment, and memory. Stroke survivors often have problems understanding or forming speech. A stroke can lead to emotional problems. Stroke patients may have difficulty controlling their emotions or may express inappropriate emotions. Many stroke patients experience depression. Stroke survivors may also have numbness or strange sensations. The pain is often worse in the hands and feet and is made worse by movement and temperature changes, especially cold temperatures.
                
Recurrent stroke is frequent; about 25 percent of people who recover from their first stroke will have another stroke within 5 years."
information,What is (are) Spinal Cord Infarction ?,"Spinal cord infarction is a stroke either within the spinal cord or the arteries that supply it. It is caused by arteriosclerosis or a thickening or closing of the major arteries to the spinal cord. Frequently spinal cord infarction is caused by a specific form of arteriosclerosis called atheromatosis, in which a deposit or accumulation of lipid-containing matter forms within the arteries. Symptoms, which generally appear within minutes or a few hours of the infarction, may include intermittent sharp or burning back pain, aching pain down through the legs, weakness in the legs, paralysis, loss of deep tendon reflexes, loss of pain and temperature sensation, and incontinence."
information,What is (are) Atrial Fibrillation and Stroke ?,"Atrial fibrillation (AF) describes the rapid, irregular beating of the left atrium (upper chamber) of the heart. These rapid contractions of the heart are weaker than normal contractions, resulting in slow flow of blood in the atrium. The blood pools and becomes sluggish and can result in the formation of blood clots. If a clot leaves the heart and travels to the brain, it can cause a stroke by blocking the flow of blood through cerebral arteries. Some people with AF have no symptoms, but others may experience a fluttering feeling in the area of the chest above the heart, chest pain, lightheadness or fainting, shortness of breath, and fatigue. AF is diagnosed by an electrocardiogram (ECG), a device that records the hearts electrical activity. Other tests are often performed to rule out contributing causes, such as high blood pressure, an overactive thyroid gland, heart failure, faulty heart valves, lung disease, and stimulant or alcohol abuse. Some people will have no identifiable cause for their AF."
treatment,What are the treatments for Atrial Fibrillation and Stroke ?,"Within a few hours after onset of a stroke, treatment with drugs or devices that dissolve or break up the clot can restore blood flow to the brain and lead to a better recovery. To prevent strokes related to AF, doctors often prescribe medications to prevent formation of clots in the heart, which can travel to the brain and cause stroke. Immediately after a stroke, doctors may temporarily administer heparin by injection, while starting an oral medication for long-term protection from clots. The most commonly used drug has been warfarin. People taking warfarin must be closely monitored to make sure their blood is thin enough to prevent clots, but not so thin as to promote bleeding. Since some foods, vitamin supplements, and medications can affect warfarin action, keeping the blood just thin enough can be tricky. More recently, a number of new blood thinners, including dabigatran, rivaroxaban, and apixaban, have been shown to be as effective as warfarin in stroke prevention. These newer medications do not require regular blood test monitoring and may have less tendency to cause bleeding due to making the blood too thin. Some individuals with AF may have a lower risk of stroke and may be treated with aspirin, either alone or with another antiplatelet agency like clopidogrel. Other treatments for AF include medications such as beta blockers or calcium channel blockers to slow the heartbeat, and anti-arrhythmic drugs or electrical cardioversion (which delivers an electrical shock to the heart) to normalize the heartbeat."
outlook,What is the outlook for Atrial Fibrillation and Stroke ?,"AF, which affects as many as 2.2 million Americans, increases an individuals risk of stroke by 4 to 6 times on average. The risk increases with age. In people over 80 years old, AF is the direct cause of 1 in 4 strokes. Treating individuals with warfarin or new blood thinners reduces the rate of stroke for those who have AF by approximately one-half to two- thirds. People with AF can have multiple strokes, including silent strokes (strokes that don't show physical symptoms but show up on a brain scan) that, over time, can cause dementia, so prevention is important."
outlook,What is the outlook for Pompe Disease ?,"Without enzyme replacement therapy, the hearts of babies with infantile onset Pompe disease progressively thicken and enlarge. These babies die before the age of one year from either cardiorespiratory failure or respiratory infection. For individuals with late onset Pompe disease, the prognosis is dependent upon the age of onset. In general, the later the age of onset, the slower the progression of the disease. Ultimately, the prognosis is dependent upon the extent of respiratory muscle involvement."
information,What is (are) High Blood Pressure and Kidney Disease ?,"Blood pressure is the force of blood pushing against blood vessel walls as the heart pumps out blood, and high blood pressure, also called hypertension, is an increase in the amount of force that blood places on blood vessels as it moves through the body. Factors that can increase this force include higher blood volume due to extra fluid in the blood and blood vessels that are narrow, stiff, or clogged.
                
Blood pressure test results are written with two numbers separated by a slash. For example, a health care provider will write a blood pressure result as 120/80. A health care provider will say this blood pressure result as 120 over 80. The top number is called the systolic pressure and represents the pressure as the heart beats and pushes blood through the blood vessels. The bottom number is called the diastolic pressure and represents the pressure as blood vessels relax between heartbeats.
                
Most people without chronic health conditions have a normal blood pressure if it stays below 120/80. Prehypertension is a systolic pressure of 120 to 139 or a diastolic pressure of 80 to 89. High blood pressure is a systolic pressure of 140 or above or a diastolic pressure of 90 or above.1
                
People should talk with their health care provider about their individual blood pressure goals and how often they should have their blood pressure checked."
information,What is (are) High Blood Pressure and Kidney Disease ?,"The kidneys are two bean-shaped organs, each about the size of a fist. They are located just below the rib cage, one on each side of the spine. Every day, the two kidneys filter about 120 to 150 quarts of blood to produce about 1 to 2 quarts of urine, composed of wastes and extra fluid. The urine flows from the kidneys to the bladder through tubes called ureters. The bladder stores urine. When the bladder empties, urine flows out of the body through a tube called the urethra, located at the bottom of the bladder. In men the urethra is long, while in women it is short.
                
Kidneys work at the microscopic level. The kidney is not one large filter. Each kidney is made up of about a million filtering units called nephrons. Each nephron filters a small amount of blood. The nephron includes a filter, called the glomerulus, and a tubule. The nephrons work through a two-step process. The glomerulus lets fluid and waste products pass through it; however, it prevents blood cells and large molecules, mostly proteins, from passing. The filtered fluid then passes through the tubule, which sends needed minerals back to the bloodstream and removes wastes. The final product becomes urine."
symptoms,What are the symptoms of High Blood Pressure and Kidney Disease ?,"Most people with high blood pressure do not have symptoms. In rare cases, high blood pressure can cause headaches.
                
Kidney disease also does not have symptoms in the early stages. A person may have swelling called edema, which happens when the kidneys cannot get rid of extra fluid and salt. Edema can occur in the legs, feet, or ankles and less often in the hands or face. Once kidney function decreases further, symptoms can include
                
- appetite loss  - nausea  - vomiting  - drowsiness or feeling tired  - trouble concentrating  - sleep problems  - increased or decreased urination  - generalized itching or numbness  - dry skin  - headaches  - weight loss  - darkened skin  - muscle cramps  - shortness of breath  - chest pain"
